date,event,utr_singles_masked,utr_doubles_masked,utr_singles_unmasked,utr_doubles_unmasked
2024-02-08T00:00:00,2024 CORTA USTA Adult 18 & Over - Spring/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
2024-02-03T00:00:00,2024 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2024-02-01T00:00:00,2024 CORTA USTA Adult 18 & Over - Spring/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
2024-01-29T00:00:00,2024 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2023-12-09T00:00:00,2024 CORTA USTA MXD 18 & Over - Fall/3.5,1.xx,2.xx,1.23,2.68
2023-11-18T00:00:00,2024 CORTA USTA MXD 18 & Over - Fall/3.5,1.xx,2.xx,1.23,2.68
2023-10-29T00:00:00,2024 CORTA USTA Adult 40 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2023-09-10T00:00:00,2024 CORTA USTA Adult 40 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2023-10-15T00:00:00,2024 CORTA USTA Adult 40 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2023-11-04T00:00:00,2024 CORTA USTA Adult 18 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2023-09-09T00:00:00,2024 CORTA USTA Adult 18 & Over - Fall/Women 3.5,1.xx,2.xx,1.23,2.68
2023-10-19T00:00:00,2024 CORTA USTA Adult 18 & Over - Fall/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
2023-09-21T00:00:00,2024 CORTA USTA Adult 18 & Over - Fall/Women 4.0 Low (Check Eligibility List),1.xx,2.xx,1.23,2.68
2023-09-08T00:00:00,Georgia Mixed 18 & Over and 40 & Over State Championship/Mixed 7.0,1.xx,2.xx,1.23,2.68
2023-08-16T00:00:00,2023 CORTA Southern Combo 18 & Over - Summer/Women 7.5,1.xx,2.xx,1.23,2.68
2023-08-14T00:00:00,2023 CORTA Southern Combo 18 & Over - Summer/Women 6.5,1.xx,2.xx,1.23,2.68
2023-08-02T00:00:00,2023 CORTA Southern Combo 18 & Over - Summer/Women 6.5,1.xx,2.xx,1.23,2.68
2023-07-29T00:00:00,2023 CORTA Southern Combo 18 & Over - Summer/Women 7.5,1.xx,2.xx,1.23,2.68
2023-07-26T00:00:00,2023 CORTA Southern Combo 18 & Over - Summer/Women 7.5,1.xx,2.xx,1.23,2.68
2023-07-19T00:00:00,2023 CORTA Southern Combo 18 & Over - Summer/Women 7.5,1.xx,2.xx,1.23,2.68
2023-08-17T00:00:00,2023 CORTA Southern Combo 40 & Over - Summer/Women 7.5,1.xx,2.xx,1.23,2.68
2023-07-27T00:00:00,2023 CORTA Southern Combo 40 & Over - Summer/Women 7.5,1.xx,2.xx,1.23,2.68
2023-07-16T00:00:00,2023 CORTA Southern Combo 40 & Over - Summer/Women 7.5,1.xx,2.xx,1.23,2.68
2023-06-17T00:00:00,2023 CORTA USTA MXD 18 & Over - Summer /7.0,1.xx,2.xx,1.23,2.68
2023-05-13T00:00:00,2023 CORTA USTA MXD 18 & Over - Summer /7.0,1.xx,2.xx,1.23,2.68
2023-06-05T00:00:00,2023 CORTA USTA MXD 18 & Over - Summer /7.0,1.xx,2.xx,1.23,2.68
2023-02-12T00:00:00,2023 CORTA USTA Adult 40 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2023-03-11T00:00:00,2023 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2023-03-04T00:00:00,2023 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2023-02-17T00:00:00,2023 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2023-01-21T00:00:00,2023 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2023-02-25T00:00:00,2023 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2023-01-28T00:00:00,2023 CORTA USTA Adult 18 & Over - Spring/Women 3.5,1.xx,2.xx,1.23,2.68
2023-01-09T00:00:00,2023 CORTA USTA MXD 18 & Over - Fall/7.0,1.xx,2.xx,1.23,2.68
2022-11-21T00:00:00,2023 CORTA USTA MXD 18 & Over - Fall/7.0,1.xx,2.xx,1.23,2.68
2022-10-30T00:00:00,USTA Adult League - 2023 CORTA USTA Adult 40 & Over - Fall,1.xx,2.xx,1.23,2.68
2022-10-29T00:00:00,USTA Adult League - 2023 CORTA USTA Adult 18 & Over - Fall,1.xx,2.xx,1.23,2.68
2022-10-09T00:00:00,USTA Adult League - 2023 CORTA USTA Adult 40 & Over - Fall,1.xx,2.xx,1.23,2.68
2022-10-08T00:00:00,USTA Adult League - 2023 CORTA USTA Adult 18 & Over - Fall,1.xx,2.xx,1.23,2.68
2022-10-01T00:00:00,USTA Adult League - 2023 CORTA USTA Adult 18 & Over - Fall,1.xx,2.xx,1.23,2.68
2022-09-10T00:00:00,USTA Adult League - 2023 CORTA USTA Adult 18 & Over - Fall,1.xx,2.xx,1.23,2.68
2022-08-14T00:00:00,USTA Adult League - 2022 CORTA Southern Combo 40 & Over - Summer,1.xx,2.xx,1.23,2.68
2022-07-19T00:00:00,USTA Adult League - 2022 CORTA Southern Combo 40 & Over - Summer,1.xx,2.xx,1.23,2.68
2022-06-28T00:00:00,USTA Adult League - 2022 CORTA Southern Combo 40 & Over - Summer,1.xx,2.xx,1.23,2.68
2022-02-26T00:00:00,USTA Adult League - 2022 CORTA USTA Adult 18 & Over - Spring,1.xx,2.xx,1.23,2.68
2022-02-05T00:00:00,USTA Adult League - 2022 CORTA USTA Adult 18 & Over - Spring,1.xx,2.xx,1.23,2.68
2021-11-06T00:00:00,USTA Adult League - 2022 CORTA USTA Adult 18 & Over - Fall,1.xx,2.xx,1.23,2.68
2021-09-18T00:00:00,USTA Adult League - 2022 CORTA USTA Adult 18 & Over - Fall,1.xx,2.xx,1.23,2.68
2021-03-08T00:00:00,USTA Adult League - Skinner-CC vs. Dudley/Pitts-CC,1.xx,2.xx,1.23,2.68
2021-02-24T00:00:00,USTA Adult League - Dudley/Pitts-CC vs. Kilpatrick/Culpepper-GI,1.xx,2.xx,1.23,2.68
2021-02-20T00:00:00,USTA Adult League - Green-CC vs. Dudley/Pitts-CC,1.xx,2.xx,1.23,2.68
2021-01-23T00:00:00,USTA Adult League - Dudley/Pitts-CC vs. Medders/Foy-CG,1.xx,2.xx,1.23,2.68
2020-10-17T00:00:00,USTA Adult League - Ernst-CCC vs. Pitts/Dudley-CC,1.xx,2.xx,1.23,2.68
2020-10-10T00:00:00,USTA Adult League - Pitts/Dudley-CC vs. Wilson/Foy-CC,1.xx,2.xx,1.23,2.68
